derivation,case_id,metric,ruby_value,julia_value,absolute_difference,comparison_mode,status,result_class
bernoulli_temporal,n=3;rho=3/4,p_polymorphy,0.5625,0.5625,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=3/4,p_kappa,0.421875,0.421875,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=3/4,expected_held_count,2.25,2.25,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=9/10,p_alpha,0.001,0.001,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=9/10,p_polymorphy,0.27,0.27,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=9/10,p_kappa,0.729,0.729,0.0,exact,match,model consequence
bernoulli_temporal,n=3;rho=9/10,expected_held_count,2.7,2.7,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/10,p_alpha,0.59049,0.59049,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/10,p_polymorphy,0.4095,0.4095,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/10,p_kappa,1.0e-5,1.0e-5,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/10,expected_held_count,0.5,0.5,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/4,p_alpha,0.2373046875,0.2373046875,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/4,p_polymorphy,0.76171875,0.76171875,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/4,p_kappa,0.0009765625,0.0009765625,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/4,expected_held_count,1.25,1.25,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/2,p_alpha,0.03125,0.03125,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/2,p_polymorphy,0.9375,0.9375,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/2,p_kappa,0.03125,0.03125,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=1/2,expected_held_count,2.5,2.5,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=3/4,p_alpha,0.0009765625,0.0009765625,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=3/4,p_polymorphy,0.76171875,0.76171875,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=3/4,p_kappa,0.2373046875,0.2373046875,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=3/4,expected_held_count,3.75,3.75,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=9/10,p_alpha,1.0e-5,1.0e-5,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=9/10,p_polymorphy,0.4095,0.4095,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=9/10,p_kappa,0.59049,0.59049,0.0,exact,match,model consequence
bernoulli_temporal,n=5;rho=9/10,expected_held_count,4.5,4.5,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/10,p_alpha,0.3486784401,0.3486784401,0.0,exact,match,model consequence
bernoulli_temporal,n=10;rho=1/10,p_polymorphy,0.6513215598,0.6513215598,0.0,exact,match,model consequence
