derivation,case_id,metric,value,exact_value,result_class,assumption
bernoulli_temporal,n=10;rho=1/2,p_alpha,0.0009765625,1/1024,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/2,p_amphoteron,0.998046875,511/512,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/2,p_kappa,0.0009765625,1/1024,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=1/2,expected_held_count,5.0,5,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=3/4,p_alpha,9.5367431640625e-7,1/1048576,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=3/4,p_amphoteron,0.9436855316162109,494763/524288,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=3/4,p_kappa,0.056313514709472656,59049/1048576,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=3/4,expected_held_count,7.5,15/2,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=9/10,p_alpha,1.0e-10,1/10000000000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=9/10,p_amphoteron,0.6513215598,3256607799/5000000000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=9/10,p_kappa,0.3486784401,3486784401/10000000000,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,n=10;rho=9/10,expected_held_count,9.0,9,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,rho=1/4|1/2|3/4,p_alpha,0.09375,3/32,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,rho=1/4|1/2|3/4,p_amphoteron,0.8125,13/16,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,rho=1/4|1/2|3/4,p_kappa,0.09375,3/32,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
bernoulli_temporal,rho=1/4|1/2|3/4,expected_held_count,1.5,3/2,model consequence,mutually independent Bernoulli retention indicators at one stationary sample
one_bit_first_passage,n=2;q=1,expected_steps,1.0,1,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=3;q=1,expected_steps,3.0,3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=3;q=2,expected_steps,3.0,3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=4;q=1,expected_steps,7.0,7,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=4;q=2,expected_steps,8.0,8,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=4;q=3,expected_steps,7.0,7,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=5;q=1,expected_steps,15.0,15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=5;q=2,expected_steps,17.5,35/2,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=5;q=3,expected_steps,17.5,35/2,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=5;q=4,expected_steps,15.0,15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=6;q=1,expected_steps,31.0,31,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=6;q=2,expected_steps,36.0,36,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=6;q=3,expected_steps,37.0,37,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=6;q=4,expected_steps,36.0,36,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=6;q=5,expected_steps,31.0,31,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=7;q=1,expected_steps,63.0,63,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=7;q=2,expected_steps,72.33333333333333,217/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=7;q=3,expected_steps,74.66666666666667,224/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=7;q=4,expected_steps,74.66666666666667,224/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=7;q=5,expected_steps,72.33333333333333,217/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=7;q=6,expected_steps,63.0,63,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=8;q=1,expected_steps,127.0,127,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=8;q=2,expected_steps,144.0,144,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=8;q=3,expected_steps,148.33333333333334,445/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=8;q=4,expected_steps,149.33333333333334,448/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=8;q=5,expected_steps,148.33333333333334,445/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=8;q=6,expected_steps,144.0,144,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=8;q=7,expected_steps,127.0,127,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=1,expected_steps,255.0,255,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=2,expected_steps,285.75,1143/4,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=3,expected_steps,293.25,1173/4,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=4,expected_steps,295.5,591/2,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=5,expected_steps,295.5,591/2,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=6,expected_steps,293.25,1173/4,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=7,expected_steps,285.75,1143/4,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=9;q=8,expected_steps,255.0,255,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=1,expected_steps,511.0,511,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=2,expected_steps,566.6666666666666,1700/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=3,expected_steps,579.3333333333334,1738/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=4,expected_steps,583.3333333333334,1750/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=5,expected_steps,584.3333333333334,1753/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=6,expected_steps,583.3333333333334,1750/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=7,expected_steps,579.3333333333334,1738/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=8,expected_steps,566.6666666666666,1700/3,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=10;q=9,expected_steps,511.0,511,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=1,expected_steps,1023.0,1023,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=2,expected_steps,1124.2,5621/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=3,expected_steps,1145.4666666666667,17182/15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=4,expected_steps,1152.0666666666666,17281/15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=5,expected_steps,1154.2666666666667,17314/15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=6,expected_steps,1154.2666666666667,17314/15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=7,expected_steps,1152.0666666666666,17281/15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=8,expected_steps,1145.4666666666667,17182/15,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=9,expected_steps,1124.2,5621/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=11;q=10,expected_steps,1023.0,1023,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=1,expected_steps,2047.0,2047,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=2,expected_steps,2232.0,2232,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=3,expected_steps,2267.8,11339/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=4,expected_steps,2278.4,11392/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=5,expected_steps,2282.2,11411/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=6,expected_steps,2283.2,11416/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=7,expected_steps,2282.2,11411/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=8,expected_steps,2278.4,11392/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=9,expected_steps,2267.8,11339/5,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=10,expected_steps,2232.0,2232,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
one_bit_first_passage,n=12;q=11,expected_steps,2047.0,2047,theorem,one uniformly selected bit flips per event; boundaries are absorbing for the clock
gaussian_correction,inner=1/4,sigma_over_radius_at_maximum,0.5814908857483071,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=1/4,maximum_correction_probability,0.5817632113141249,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=1/4,derivative_at_maximum,3.283404626396425e-16,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=1/2,sigma_over_radius_at_maximum,0.735534255037358,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=1/2,maximum_correction_probability,0.3226745688347685,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=1/2,derivative_at_maximum,0.0,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=3/4,sigma_over_radius_at_maximum,0.8720023021306239,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=3/4,maximum_correction_probability,0.13826963202340314,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
gaussian_correction,inner=3/4,derivative_at_maximum,7.300371671036563e-17,,model consequence,one-dimensional centered Gaussian error; correction band cR < |X| <= R
